DELEGACION DE TRANSITO,FECHA DEL ACCIDENTE,DIA DE LA SEMANA,LOCALIDAD ACCIDENTE,MUNICIPIO ACCIDENTE,ZONA,CALLE/AVENIDA DEL ACCIDENTE,COLONIA,CONDICIONES DE LA VIA,CONDICIONES NATURALES,SUPERFICIE DE LA VIA,ESTADO DE LA VIA,TANGENTE,TIPO DE CONTROL DE TRANSITO,RESTRICCIONES DE LA VIA,TIPO DE ACCIDENTE,FORMA DE ACCIDENTARSE,CONTRA QUE FUE EL IMPACTO,CANTIDAD DE VEHICULOS,TIPO DE VEHICULO,MARCA,ENTIDAD FEDERATIVA DEL VEHICULO,COLOR DEL VEHICULO,TIPO DE SERVICIO PARA EL QUE SE OCUPAN LOS VEHICULOS,EDAD CONDUCTOR,SEXO CONDUCTOR,TIPO LICENCIA,LICENCIA VIGENTE,CAUSA ATRIBUIBLE AL CONDUCTOR
1,0,5,7,3,2,391,160,0,3,0,2,0,4,10,2,9,6,3.0,4,4,26,31,3,33.0,1,1,2,16
1,0,5,7,3,2,391,160,0,3,0,2,0,4,10,2,9,6,3.0,4,3,26,158,3,33.0,1,1,2,16
1,0,5,7,3,2,391,160,0,3,0,2,0,4,10,2,9,6,3.0,4,3,26,123,3,33.0,1,1,1,16
1,12,6,7,3,2,204,58,0,3,1,2,0,4,10,2,9,5,2.0,4,0,23,136,3,25.0,1,1,1,10
1,12,6,7,3,2,204,58,0,3,1,2,0,4,10,2,9,5,2.0,4,4,26,44,6,38.0,1,0,2,10
1,24,6,7,3,2,121,269,0,3,0,2,0,4,10,2,5,5,2.0,4,4,26,31,8,41.0,1,1,2,14
1,24,6,7,3,2,121,269,0,3,0,2,0,4,10,2,5,5,2.0,4,3,26,46,6,29.0,1,0,2,14
1,36,4,7,3,2,114,224,0,3,0,2,0,4,10,2,5,5,2.0,4,3,26,31,3,50.0,1,0,2,5
1,36,4,7,3,2,114,224,0,3,0,2,0,4,10,2,5,5,2.0,4,3,26,31,3,38.0,1,0,2,5
1,48,2,7,3,2,126,267,0,2,1,2,0,4,10,2,6,5,2.0,1,4,26,136,8,58.0,1,0,2,14
1,48,2,7,3,2,126,267,0,2,1,2,0,4,10,2,6,5,2.0,1,3,26,31,3,58.0,1,0,2,14
1,60,1,7,3,2,126,267,0,2,0,2,1,4,10,2,9,5,2.0,4,6,26,15,3,25.0,1,1,2,10
1,60,1,7,3,2,126,267,0,2,0,2,1,4,10,2,9,5,2.0,4,0,26,85,3,36.0,2,2,2,10
