DELEGACION DE TRANSITO,FECHA DEL ACCIDENTE,DIA DE LA SEMANA,LOCALIDAD ACCIDENTE,MUNICIPIO ACCIDENTE,ZONA,CALLE/AVENIDA DEL ACCIDENTE,COLONIA,CONDICIONES DE LA VIA,CONDICIONES NATURALES,SUPERFICIE DE LA VIA,ESTADO DE LA VIA,TANGENTE,TIPO DE CONTROL DE TRANSITO,RESTRICCIONES DE LA VIA,TIPO DE ACCIDENTE,FORMA DE ACCIDENTARSE,CONTRA QUE FUE EL IMPACTO,CANTIDAD DE VEHICULOS,TIPO DE VEHICULO,MARCA,ENTIDAD FEDERATIVA DEL VEHICULO,COLOR DEL VEHICULO,TIPO DE SERVICIO PARA EL QUE SE OCUPAN LOS VEHICULOS,EDAD CONDUCTOR,SEXO CONDUCTOR,TIPO LICENCIA,LICENCIA VIGENTE,CAUSA ATRIBUIBLE AL CONDUCTOR
XALAPA,01/01/2014,MIERCOLES,XALAPA,XALAPA,URBANA,JUAN SEBASTIAN BACH,INDECO ANIMAS,BUENO,SOLEADO,ASFALTO,SECO,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,ÁNGULO,VEHÍCULO ESTACIONADO,3.0,OTROS,OTRAS,VERACRUZ,BLANCO,P - PARTICULAR,33.0,HOMBRE,B,SI,VELOCIDAD INMODERADA
XALAPA,01/01/2014,MIERCOLES,XALAPA,XALAPA,URBANA,JUAN SEBASTIAN BACH,INDECO ANIMAS,BUENO,SOLEADO,ASFALTO,SECO,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,ÁNGULO,VEHÍCULO ESTACIONADO,3.0,OTROS,NISSAN,VERACRUZ,TITANIO,P - PARTICULAR,33.0,HOMBRE,B,SI,VELOCIDAD INMODERADA
XALAPA,01/01/2014,MIERCOLES,XALAPA,XALAPA,URBANA,JUAN SEBASTIAN BACH,INDECO ANIMAS,BUENO,SOLEADO,ASFALTO,SECO,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,ÁNGULO,VEHÍCULO ESTACIONADO,3.0,OTROS,NISSAN,VERACRUZ,PLATA,P - PARTICULAR,33.0,HOMBRE,B,NO,VELOCIDAD INMODERADA
XALAPA,02/01/2014,SABADO,XALAPA,XALAPA,URBANA,CAMINO ANTIGUO A NAOLINCO,CAROLINO ANAYA,BUENO,SOLEADO,CONCRETO,SECO,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,ÁNGULO,VEHÍCULO CIRCULANDO,2.0,OTROS,CHEVROLET,TABASCO,ROJO,P - PARTICULAR,25.0,HOMBRE,B,NO,NO RESPETAR CEDA EL PASO
XALAPA,02/01/2014,SABADO,XALAPA,XALAPA,URBANA,CAMINO ANTIGUO A NAOLINCO,CAROLINO ANAYA,BUENO,SOLEADO,CONCRETO,SECO,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,ÁNGULO,VEHÍCULO CIRCULANDO,2.0,OTROS,OTRAS,VERACRUZ,BLANCO/ROJO,PE - PÚBLICO ESTATAL,38.0,HOMBRE,A,SI,NO RESPETAR CEDA EL PASO
XALAPA,03/01/2014,SABADO,XALAPA,XALAPA,URBANA,AVENIDA RUIZ CORTINES,PROLONGACION VILLAHERMOSA,BUENO,SOLEADO,ASFALTO,SECO,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,LATERAL,VEHÍCULO CIRCULANDO,2.0,OTROS,OTRAS,VERACRUZ,BLANCO,PF- PÚBLICO FEDERAL,41.0,HOMBRE,B,SI,OTRO
XALAPA,03/01/2014,SABADO,XALAPA,XALAPA,URBANA,AVENIDA RUIZ CORTINES,PROLONGACION VILLAHERMOSA,BUENO,SOLEADO,ASFALTO,SECO,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,LATERAL,VEHÍCULO CIRCULANDO,2.0,OTROS,NISSAN,VERACRUZ,BLANCO/VERDE,PE - PÚBLICO ESTATAL,29.0,HOMBRE,A,SI,OTRO
XALAPA,04/01/2014,MARTES,XALAPA,XALAPA,URBANA,AVENIDA REBSAMEN,MARTIRES DE CHICAGO,BUENO,SOLEADO,ASFALTO,SECO,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,LATERAL,VEHÍCULO CIRCULANDO,2.0,OTROS,NISSAN,VERACRUZ,BLANCO,P - PARTICULAR,50.0,HOMBRE,A,SI,CAMBIAR CARRIL SIN PRECAUCIÓN
XALAPA,04/01/2014,MARTES,XALAPA,XALAPA,URBANA,AVENIDA REBSAMEN,MARTIRES DE CHICAGO,BUENO,SOLEADO,ASFALTO,SECO,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,LATERAL,VEHÍCULO CIRCULANDO,2.0,OTROS,NISSAN,VERACRUZ,BLANCO,P - PARTICULAR,38.0,HOMBRE,A,SI,CAMBIAR CARRIL SIN PRECAUCIÓN
XALAPA,05/01/2014,JUEVES,XALAPA,XALAPA,URBANA,AVENIDA XALAPA,PROGRESO MACUILTEPEC,BUENO,NIEBLA,CONCRETO,SECO,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,MANIOBRA EN REVERSA,VEHÍCULO CIRCULANDO,2.0,C - CAMIONETA,OTRAS,VERACRUZ,ROJO,PF- PÚBLICO FEDERAL,58.0,HOMBRE,A,SI,OTRO
